opportunity,session,symbol,selectorTime,asOf,elapsedActiveMinutes,observation,observed1m,missing1m,direction,return5Pct,scaleStatus,scale,dailyComplete5,structure,phase,attributes,stateReason,futureStatus,futureMissing,lateConfirmedPivots,pivotN,localRange,sameBarOrderAmbiguities,closedCrossEvents,semanticAny,contextPriceBasis,transitionObservablePair,phaseChanged
2025-06-12|135A0,2025-06-12,135A0,11:00,11:00,0,PARTIAL,4,1,,,AVAILABLE,39.0,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,5,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,11:05,5,PARTIAL,3,2,,,AVAILABLE,39.0,True,,,,CURRENT_BAR_UNAVAILABLE,OBSERVATION_INSUFFICIENT,5,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,11:10,10,PARTIAL,2,3,,,AVAILABLE,39.0,True,,,,CURRENT_BAR_UNAVAILABLE,OBSERVATION_INSUFFICIENT,4,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,11:15,15,PARTIAL,3,2,,,AVAILABLE,39.0,True,,,,CURRENT_BAR_UNAVAILABLE,OBSERVATION_INSUFFICIENT,6,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,11:20,20,PARTIAL,3,2,,,AVAILABLE,39.0,True,,,,CURRENT_BAR_UNAVAILABLE,OBSERVATION_INSUFFICIENT,7,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,11:25,25,PARTIAL,1,4,,,AVAILABLE,39.0,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,4,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,11:30,30,PARTIAL,2,3,,,AVAILABLE,39.0,True,,,,CURRENT_BAR_UNAVAILABLE,OBSERVATION_INSUFFICIENT,3,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,12:35,35,PARTIAL,4,1,,,AVAILABLE,39.0,True,,,,CURRENT_BAR_UNAVAILABLE,OBSERVATION_INSUFFICIENT,5,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,12:40,40,PARTIAL,3,2,,,AVAILABLE,39.0,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,4,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-12|135A0,2025-06-12,135A0,11:00,12:45,45,PARTIAL,2,3,,,AVAILABLE,39.0,True,,,,CURRENT_BAR_UNAVAILABLE,OBSERVATION_INSUFFICIENT,2,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
