opportunity,session,symbol,selectorTime,asOf,elapsedActiveMinutes,observation,observed1m,missing1m,direction,return5Pct,scaleStatus,scale,dailyComplete5,structure,phase,attributes,stateReason,futureStatus,futureMissing,lateConfirmedPivots,pivotN,localRange,sameBarOrderAmbiguities,closedCrossEvents,semanticAny,contextPriceBasis,transitionObservablePair,phaseChanged
2025-06-13|153A0,2025-06-13,153A0,14:00,14:00,0,COMPLETE,5,0,DOWN,-0.5337214944201844,AVAILABLE,25.0,True,,,RANGE_COMPRESSION|VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,1,2,False,1,1,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-13|153A0,2025-06-13,153A0,14:00,14:05,5,COMPLETE,5,0,UP,1.1219512195121952,AVAILABLE,25.0,True,,RECOVERY,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,0,2,False,1,2,True,INHERITED_RAW_PRICE_BASIS,True,True
2025-06-13|153A0,2025-06-13,153A0,14:00,14:10,10,COMPLETE,5,0,DOWN,-0.38461538461538464,AVAILABLE,25.0,True,,RECOVERY,RANGE_COMPRESSION|VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,0,2,False,0,0,True,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-13|153A0,2025-06-13,153A0,14:00,14:15,15,PARTIAL,4,1,,,AVAILABLE,25.0,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,1,1,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-13|153A0,2025-06-13,153A0,14:00,14:20,20,COMPLETE,5,0,UP,1.9230769230769231,AVAILABLE,25.0,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,1,False,2,2,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-13|153A0,2025-06-13,153A0,14:00,14:25,25,COMPLETE,5,0,DOWN,-0.7058823529411765,AVAILABLE,25.0,True,,,CHOPPINESS,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,1,3,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-13|153A0,2025-06-13,153A0,14:00,14:30,30,COMPLETE,5,0,UP,0.47393364928909953,AVAILABLE,25.0,True,,RECOVERY,VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,1,3,False,0,0,True,INHERITED_RAW_PRICE_BASIS,True,True
2025-06-13|153A0,2025-06-13,153A0,14:00,14:35,35,COMPLETE,5,0,UP,1.8885741265344664,AVAILABLE,25.0,True,,,RANGE_EXPANSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,3,False,1,1,False,INHERITED_RAW_PRICE_BASIS,True,True
2025-06-13|153A0,2025-06-13,153A0,14:00,14:40,40,COMPLETE,5,0,UP,0.5560704355885079,AVAILABLE,25.0,True,,,RANGE_COMPRESSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,3,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-13|153A0,2025-06-13,153A0,14:00,14:45,45,COMPLETE,5,0,UP,2.0276497695852536,AVAILABLE,25.0,True,,,RANGE_EXPANSION|VOLUME_EXPANSION|TRADING_VALUE_EXPANSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,3,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-13|153A0,2025-06-13,153A0,14:00,14:50,50,COMPLETE,5,0,DOWN,-1.8066847335140017,AVAILABLE,25.0,True,UP_STRUCTURE,CORRECTION,RANGE_EXPANSION,IDENTIFIED,WINDOW_OBSERVED,0,0,4,False,0,0,True,INHERITED_RAW_PRICE_BASIS,True,True
2025-06-13|153A0,2025-06-13,153A0,14:00,14:55,55,COMPLETE,5,0,DOWN,-1.336405529953917,AVAILABLE,25.0,True,UP_STRUCTURE,CORRECTION,RANGE_COMPRESSION|VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,IDENTIFIED,WINDOW_OBSERVED,0,0,4,False,0,0,True,INHERITED_RAW_PRICE_BASIS,True,False
