opportunity,session,symbol,selectorTime,asOf,elapsedActiveMinutes,observation,observed1m,missing1m,direction,return5Pct,scaleStatus,scale,dailyComplete5,structure,phase,attributes,stateReason,futureStatus,futureMissing,lateConfirmedPivots,pivotN,localRange,sameBarOrderAmbiguities,closedCrossEvents,semanticAny,contextPriceBasis,transitionObservablePair,phaseChanged
2025-06-09|143A0,2025-06-09,143A0,09:30,09:30,0,COMPLETE,5,0,UP,1.777434312210201,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,1,False,2,2,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-09|143A0,2025-06-09,143A0,09:30,09:35,5,COMPLETE,5,0,DOWN,-1.1389521640091116,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,1,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-09|143A0,2025-06-09,143A0,09:30,09:40,10,COMPLETE,5,0,UP,1.4592933947772657,AVAILABLE,94.5,True,,,RANGE_COMPRESSION|VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,0,1,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-09|143A0,2025-06-09,143A0,09:30,09:45,15,COMPLETE,5,0,DOWN,-1.2849584278155706,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,0,1,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-09|143A0,2025-06-09,143A0,09:30,09:50,20,PARTIAL,4,1,,,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-09|143A0,2025-06-09,143A0,09:30,09:55,25,COMPLETE,5,0,UP,0.7633587786259542,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-09|143A0,2025-06-09,143A0,09:30,10:00,30,COMPLETE,5,0,DOWN,-0.07575757575757576,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-09|143A0,2025-06-09,143A0,09:30,10:05,35,COMPLETE,5,0,DOWN,-0.9090909090909091,AVAILABLE,94.5,True,,,VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,2,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-06-09|143A0,2025-06-09,143A0,09:30,10:10,40,PARTIAL,4,1,,,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,2,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-06-09|143A0,2025-06-09,143A0,09:30,10:15,45,PARTIAL,4,1,,,AVAILABLE,94.5,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,3,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
