panel,anchorId,cohort,symbol,sessionDate,entryTimestamp,referencePrice,strict30Status,maePct,mfePct,bucket,ordering,fixed12Net,candidateANet,candidateAScope,sessionComplete,sessionTerminalPct,class3_30,class3_Fixed12,class5_30,class5_Fixed12,class10_30,class10_Fixed12
CURRENT,2024-09-17|2024-09-17T09:30:00+09:00|40140,DIP_REPRICE_OPPORTUNITY,40140,2024-09-17,2024-09-17T09:35:00+09:00,626.0,COMPLETE,-2.076677316293929,0.15974440894568342,"(-3,-2]",MFE_BEFORE_MAE,-0.2097444089456834,-0.6889776357827448,FROZEN_CURRENT_POPULATION,False,,,,,,,
CURRENT,2024-09-17|2024-09-17T09:30:00+09:00|40140,INITIAL_ENTRY_OPPORTUNITY,40140,2024-09-17,2024-09-17T09:30:00+09:00,633.0,COMPLETE,-3.159557661927326,0.15797788309637184,"(-5,-3]",MFE_BEFORE_MAE,-1.4718009478673022,-1.4718009478673022,FROZEN_CURRENT_POPULATION,False,,INCONCLUSIVE,INCONCLUSIVE,,,,
CURRENT,2024-09-17|2024-09-17T09:30:00+09:00|48800,INITIAL_ENTRY_OPPORTUNITY,48800,2024-09-17,2024-09-17T09:30:00+09:00,1255.0,COMPLETE,0,1.1155378486055856,"(-1,0]",NO_ADVERSE_MAE,-1.0061752988047845,-1.0061752988047845,FROZEN_CURRENT_POPULATION,True,-1.8326693227091684,,,,,,
CURRENT,2024-09-17|2024-09-17T09:30:00+09:00|68360,INITIAL_ENTRY_OPPORTUNITY,68360,2024-09-17,2024-09-17T09:30:00+09:00,3450.0,COMPLETE,-1.30434782608696,2.0289855072463725,"(-2,-1]",MAE_BEFORE_MFE,1.5442028985507228,1.5442028985507228,FROZEN_CURRENT_POPULATION,False,,,,,,,
CURRENT,2024-09-17|2024-09-17T09:30:00+09:00|76920,DIP_REPRICE_OPPORTUNITY,76920,2024-09-17,2024-09-17T09:35:00+09:00,90.0,COMPLETE,-2.2222222222222254,1.1111111111111072,"(-3,-2]",MFE_BEFORE_MAE,-1.1611111111111072,-1.1611111111111072,FROZEN_CURRENT_POPULATION,False,,,,,,,
CURRENT,2024-09-17|2024-09-17T09:30:00+09:00|76920,INITIAL_ENTRY_OPPORTUNITY,76920,2024-09-17,2024-09-17T09:30:00+09:00,92.0,COMPLETE,-4.347826086956519,0,"(-5,-3]",NO_POSITIVE_MFE,-3.3108695652173945,-3.3108695652173945,FROZEN_CURRENT_POPULATION,False,,CONTINUED_FAILURE,CONTINUED_FAILURE,,,,
CURRENT,2024-09-17|2024-09-17T09:30:00+09:00|82540,INITIAL_ENTRY_OPPORTUNITY,82540,2024-09-17,2024-09-17T09:30:00+09:00,452.0,COMPLETE,-1.7699115044247815,0.4424778761061843,"(-2,-1]",MFE_BEFORE_MAE,-2.9261061946902642,-2.9261061946902642,FROZEN_CURRENT_POPULATION,False,,,,,,,
CURRENT,2024-09-17|2024-09-17T10:00:00+09:00|27760,DIP_REPRICE_OPPORTUNITY,27760,2024-09-17,2024-09-17T10:05:00+09:00,157.0,COMPLETE,-3.1847133757961776,4.458598726114649,"(-5,-3]",MAE_BEFORE_MFE,6.956369426751569,6.956369426751569,FROZEN_CURRENT_POPULATION,True,2.5477707006369643,RECOVERY_WINNER,RECOVERY_WINNER,,,,
CURRENT,2024-09-17|2024-09-17T10:00:00+09:00|27760,INITIAL_ENTRY_OPPORTUNITY,27760,2024-09-17,2024-09-17T10:00:00+09:00,159.0,COMPLETE,-4.402515723270439,1.2578616352201477,"(-5,-3]",MAE_BEFORE_MFE,3.7235849056603767,3.7235849056603767,FROZEN_CURRENT_POPULATION,True,1.2578616352201477,RECOVERY_BUT_NO_MAJOR_WIN,RECOVERY_WINNER,,,,
CURRENT,2024-09-17|2024-09-17T10:00:00+09:00|73780,DIP_REPRICE_OPPORTUNITY,73780,2024-09-17,2024-09-17T10:05:00+09:00,942.0,COMPLETE,-0.5307855626326963,2.441613588110414,"(-1,0]",MAE_BEFORE_MFE,3.0285562632696275,3.0285562632696275,FROZEN_CURRENT_POPULATION,True,7.855626326963905,,,,,,
CURRENT,2024-09-17|2024-09-17T10:00:00+09:00|73780,INITIAL_ENTRY_OPPORTUNITY,73780,2024-09-17,2024-09-17T10:00:00+09:00,950.0,COMPLETE,-1.5789473684210575,1.5789473684210575,"(-2,-1]",MAE_BEFORE_MFE,2.686842105263149,2.686842105263149,FROZEN_CURRENT_POPULATION,True,6.947368421052635,,,,,,
CURRENT,2024-09-17|2024-09-17T10:00:00+09:00|92350,INITIAL_ENTRY_OPPORTUNITY,92350,2024-09-17,2024-09-17T10:00:00+09:00,1460.0000000000002,COMPLETE,-1.6438356164383716,2.328767123287645,"(-2,-1]",MFE_BEFORE_MAE,,,FROZEN_CURRENT_POPULATION,False,,,,,,,
CURRENT,2024-09-17|2024-09-17T10:00:00+09:00|92720,INITIAL_ENTRY_OPPORTUNITY,92720,2024-09-17,,,UNKNOWN_REFERENCE_OPEN,,,,,,,FROZEN_CURRENT_POPULATION,,,,,,,,
CURRENT,2024-09-17|2024-09-17T10:30:00+09:00|143A0,INITIAL_ENTRY_OPPORTUNITY,143A0,2024-09-17,2024-09-17T10:30:00+09:00,1049.0,COMPLETE,-0.09532888465204614,0.5719733079122991,"(-1,0]",MFE_BEFORE_MAE,,,FROZEN_CURRENT_POPULATION,False,,,,,,,
CURRENT,2024-09-17|2024-09-17T10:30:00+09:00|39050,INITIAL_ENTRY_OPPORTUNITY,39050,2024-09-17,2024-09-17T10:30:00+09:00,1240.0,COMPLETE,-1.9354838709677469,0.40322580645162365,"(-2,-1]",MFE_BEFORE_MAE,-2.0661290322580625,-2.0661290322580625,FROZEN_CURRENT_POPULATION,True,-1.9354838709677469,,,,,,
CURRENT,2024-09-17|2024-09-17T10:30:00+09:00|44870,INITIAL_ENTRY_OPPORTUNITY,44870,2024-09-17,2024-09-17T10:30:00+09:00,424.0,COMPLETE,0,2.358490566037741,"(-1,0]",NO_ADVERSE_MAE,3.7235849056603767,3.7235849056603767,FROZEN_CURRENT_POPULATION,True,0.7075471698113178,,,,,,
CURRENT,2024-09-17|2024-09-17T10:30:00+09:00|56160,DIP_REPRICE_OPPORTUNITY,56160,2024-09-17,2024-09-17T10:35:00+09:00,1066.0,COMPLETE,-2.814258911819889,0.7504690431519689,"(-3,-2]",MFE_BEFORE_MAE,-0.23761726078799777,-0.23761726078799777,FROZEN_CURRENT_POPULATION,False,,,,,,,
CURRENT,2024-09-17|2024-09-17T10:30:00+09:00|56160,INITIAL_ENTRY_OPPORTUNITY,56160,2024-09-17,2024-09-17T10:30:00+09:00,1061.0,COMPLETE,-2.3562676720075393,1.2252591894439169,"(-3,-2]",MFE_BEFORE_MAE,-0.9925070688030113,-0.9925070688030113,FROZEN_CURRENT_POPULATION,False,,,,,,,
