Entry,BUY,NoEntry,MFE30 med,MAE30 med,MaxDD30 med,Return30 mean,Return60 mean,End mean,+1 Capture,+2 Capture,+3 Capture,+4 Capture,+5 Capture
B0_RETRY_1m,1963,192,1.092310987363465,-1.2312622414990648,-2.127659574468088,-0.05910484403686749,-0.0817043821794539,-0.16867015639440677,85.22727272727273,85.57874762808349,85.28252299605782,86.76470588235294,87.5
B0_RETRY_5m,1802,353,1.1122345803842304,-1.1960100634830162,-2.1246709047710812,-0.07059734394143424,-0.09792388011884105,-0.23057791036369113,79.54545454545455,80.45540796963947,79.7634691195795,83.45588235294117,83.57843137254902
B1_WAIT10_1m,1857,298,0.9462046385445344,-1.1423250123572037,-1.9945602901178638,-0.029673159808739084,-0.13692307509537427,-0.18979499217145077,70.92245989304813,70.11385199240986,67.54270696452036,68.56617647058823,70.58823529411765
B1_WAIT10_5m,1685,470,0.9386513255327911,-1.1413397379075374,-2.0223658488093434,-0.008709897337694719,-0.1487560891604893,-0.277822950324259,65.84224598930481,65.0853889943074,62.28646517739816,64.5220588235294,66.91176470588235
B1_WAIT15_1m,1807,348,0.9078594387521344,-1.1189592369590495,-1.9556714471968717,0.02802588234178944,-0.09447796584029476,-0.20696607060342154,66.84491978609626,65.9392789373814,62.943495400788436,65.25735294117646,65.68627450980392
B1_WAIT15_5m,1624,531,0.9204135796179624,-1.0839407882265673,-2.006880733944949,0.05334033306914284,-0.10533541837249724,-0.2788512021785298,61.096256684491976,61.29032258064516,58.86990801576872,61.76470588235294,62.009803921568626
B1_WAIT30_1m,1062,1093,0.8545686206855696,-1.0927734275459067,-1.9573937905554784,-0.12915800136626224,-0.21781223226890095,-0.7345627234519476,39.906417112299465,35.95825426944972,35.611038107752954,37.68382352941177,39.21568627450981
B1_WAIT30_5m,1062,1093,0.8545686206855696,-1.0927734275459067,-1.9573937905554784,-0.12915800136626224,-0.21781223226890095,-0.7345627234519476,39.906417112299465,35.95825426944972,35.611038107752954,37.68382352941177,39.21568627450981
B1_WAIT5_1m,1899,256,1.001479458290655,-1.1780791319915718,-2.0408163265306145,-0.04960690754210035,-0.1536241776938284,-0.16103866854804683,75.20053475935829,75.23719165085389,73.19316688567675,74.81617647058823,75.98039215686275
B1_WAIT5_5m,1728,427,1.0076972095962589,-1.1704909876899983,-2.064220183486243,-0.032292699557744456,-0.14225352610994701,-0.24037520156417724,69.98663101604278,70.11385199240986,68.72536136662286,71.13970588235294,71.81372549019608
B2_E5_V1_PRESERVED,1645,510,1.101080937458332,-1.2121846053717245,-2.1406727828746197,-0.0739175629667997,-0.12398693086520053,-0.24272159928182782,72.66042780748663,73.14990512333966,71.74770039421813,76.1029411764706,74.50980392156863
RIDGE_FULL_QUALITY_1m,1020,1135,1.1187339731252965,-1.1132731506587001,-2.009779424013469,0.019855040713941632,-0.03307866017705835,0.026014708800089093,42.44652406417112,41.46110056925996,40.73587385019711,41.911764705882355,41.911764705882355
RIDGE_FULL_QUALITY_5m,784,1371,1.1057640344709796,-1.1054992406315023,-2.020202020202022,0.04322370545866698,-0.043240572653763146,0.1075071441709037,32.95454545454545,32.82732447817837,32.32588699080158,33.8235294117647,34.068627450980394
RIDGE_FULL_STOP_1m,435,1720,0.9185366190916366,-0.8863768952343865,-1.630731229983351,0.3732651190208054,0.6967492270356557,0.5305923540161931,14.973262032085561,13.18785578747628,12.089356110381077,12.316176470588236,12.009803921568627
RIDGE_FULL_STOP_5m,266,1889,0.9800273155980643,-0.827796218622201,-1.6260162601625994,0.5308130378317791,0.6442907612921572,0.3723564311694332,9.558823529411764,8.159392789373815,8.015768725361367,8.088235294117647,6.617647058823529
RIDGE_NO_PREVIOUS_STOP_1m,298,1857,0.58909164343659,-0.7299071552658964,-1.2096774193548376,0.1594823679787573,0.39737392487701284,0.03416576525191917,9.157754010695188,6.35673624288425,4.730617608409987,4.044117647058823,3.676470588235294
RIDGE_NO_RECENT_STOP_1m,361,1794,0.7970590975698633,-0.7912607355160417,-1.5133721572595848,0.4187257376454022,0.6135929560420268,0.9025537264673439,12.165775401069519,10.056925996204933,9.592641261498029,9.742647058823529,9.558823529411764
RIDGE_NO_SEQUENCE_STOP_1m,415,1740,1.0099404168541382,-0.8442798468315416,-1.6260162601625994,0.4955117565109454,0.7508667423169713,0.20755297415240945,13.435828877005347,12.428842504743834,10.38107752956636,11.029411764705882,10.784313725490197
TREE_FULL_QUALITY_1m,108,2047,2.368517326721453,-2.192494210358836,-3.7868460653270763,0.6241362968767239,0.22264915699498106,-0.541985711138758,5.213903743315508,5.597722960151803,6.044678055190539,7.904411764705882,8.57843137254902
TREE_FULL_QUALITY_5m,84,2071,2.2937375549107797,-2.1560351079663143,-3.7879391765402115,0.5289865000998196,0.2490745306138556,-0.9953214459556892,4.211229946524064,4.838709677419355,5.256241787122208,6.801470588235294,7.352941176470588
TREE_FULL_STOP_1m,12,2143,2.8401402884887683,-1.9361583901435497,-3.4346910262322394,1.2389072141313573,-0.5349487430004718,0.7789563672273552,0.4679144385026738,0.47438330170777987,0.657030223390276,0.9191176470588235,0.49019607843137253
TREE_FULL_STOP_5m,7,2148,3.788841077805294,-0.9527141340183787,-3.4346910262322394,1.5003259367640427,-1.0134292064186008,-1.910660479459133,0.3342245989304813,0.2846299810246679,0.39421813403416556,0.5514705882352942,0.24509803921568626
