Entry,BUY,MFE med,MAE med,MaxDD med,+1 Hit,+2 Hit,+3 Hit,+4 Hit,+5 Hit,+1 Capture,+2 Capture,+3 Capture,+4 Capture,+5 Capture
IMMEDIATE,1392,1.5952928885351714,-1.7146685612247525,-3.1492005935016887,60.05747126436781,36.27873563218391,22.270114942528735,15.086206896551724,10.632183908045977,63.77005347593583,65.37001897533207,65.9658344283837,69.30147058823529,68.38235294117646
CURRENT,60,5.325244354566916,-2.029183428087933,-5.159128978224459,75.0,58.333333333333336,48.333333333333336,40.0,33.333333333333336,2.807486631016043,3.0360531309297913,3.679369250985545,4.595588235294118,5.147058823529412
E0,1467,1.3511935620974524,-1.532913068688202,-2.765957446808509,52.41990456714383,30.265848670756647,19.01840490797546,13.428766189502387,8.861622358554873,60.22727272727273,56.73624288425047,55.059132720105126,57.904411764705884,57.84313725490196
E1,1491,1.40384353277907,-1.6036023439057634,-2.9126213592232997,54.66130114017438,31.2541918175721,20.120724346076457,13.74916163648558,9.389671361502348,61.96524064171123,59.58254269449716,59.65834428383705,62.86764705882353,64.46078431372548
E2,1502,1.4231883024032665,-1.6134410423423617,-2.846481876332624,54.32756324900133,31.824234354194406,20.173102529960055,13.515312916111851,9.454061251664447,62.63368983957219,61.48007590132827,61.76084099868594,64.5220588235294,63.72549019607843
E3,1555,1.5331827222608396,-1.6643363711402737,-3.0042918454935674,57.041800643086816,34.27652733118971,20.836012861736336,14.019292604501608,9.067524115755628,68.51604278074866,69.16508538899431,67.67411300919842,71.50735294117646,68.38235294117646
E4,1422,1.3588443873301381,-1.5586546349466657,-2.768166089965396,51.33614627285513,29.39521800281294,18.424753867791843,12.09563994374121,8.509142053445851,56.350267379679146,53.036053130929794,51.9053876478318,53.49264705882353,54.166666666666664
E5,1645,1.5271456973682929,-1.6425853007562052,-3.0104712041884807,56.89969604863222,34.10334346504559,21.033434650455927,14.164133738601823,9.240121580547113,72.66042780748663,73.14990512333966,71.74770039421813,76.1029411764706,74.50980392156863
E6,1643,1.4476988635020005,-1.6116941529235373,-2.9277813923227036,56.60377358490566,33.475349969567866,20.693852708460135,13.99878271454656,9.373097991479002,72.05882352941177,72.01138519924099,70.17082785808147,75.0,73.2843137254902
E7,1630,1.5036523189182693,-1.6425853007562052,-3.0219780219780223,55.70552147239264,33.61963190184049,20.98159509202454,14.110429447852761,9.386503067484663,70.38770053475936,71.44212523719165,70.17082785808147,74.81617647058823,73.03921568627452
