Entry,30m Mean,30m Median,30m Positive,60m Mean,60m Median,60m Positive
IMMEDIATE,-0.07970869522235016,-0.09995002498749272,45.94142259414226,-0.10446031515742266,-0.16184596673161877,44.89571899012075
CURRENT,0.8005644616446794,0.6505929516181439,59.09090909090909,1.3847699089023193,0.7785680024309727,57.57575757575758
E0,0.037616703008003606,-0.09995002498750694,43.28767123287671,-0.14115449369765165,-0.09995002498750694,44.866920152091254
E1,0.028724608141647356,-0.09995002498749272,45.38943598925694,-0.034723711842968095,-0.16184596673161877,45.49938347718865
E2,-0.022706828236365512,-0.09995002498750694,44.52113891285591,-0.020462727023242987,-0.09995002498750694,45.18072289156627
E3,-0.032044678692139346,-0.09995002498749272,45.76271186440678,-0.09169339563323167,-0.13559042811807842,44.54244762954796
E4,0.011626004404821233,-0.09995002498750694,44.48742746615087,-0.2148788536525216,-0.23070925270347686,43.04993252361673
E5,-0.05019941874102849,-0.09995002498749272,45.64021995286724,-0.09873551239722064,-0.13559042811807842,44.96208017334778
E6,-0.06311044324469843,-0.09995002498749272,46.34920634920635,-0.042679699218889505,-0.09995002498750694,45.28301886792453
E7,-0.05301097371360126,-0.09995002498749272,46.23481781376518,-0.0450188367615813,-0.09995002498750694,45.819397993311036
