Entry,BUY,MFE med,MAE med,MaxDD med,+1 Hit,+2 Hit,+3 Hit,+4 Hit,+5 Hit,+1 Capture,+2 Capture,+3 Capture,+4 Capture,+5 Capture
IMMEDIATE,1392,1.1195572330846337,-1.2398562623450071,-2.1538461538461506,51.36494252873563,28.160919540229884,15.014367816091953,8.979885057471265,5.890804597701149,63.77005347593583,65.37001897533207,65.9658344283837,69.30147058823529,68.38235294117646
CURRENT,60,2.907196108562915,-1.6261721258172879,-3.956174870717594,71.66666666666667,53.333333333333336,36.666666666666664,28.333333333333332,23.333333333333332,2.807486631016043,3.0360531309297913,3.679369250985545,4.595588235294118,5.147058823529412
E0,1467,0.9942789799130436,-1.0803876412309177,-1.9517795637198576,44.648943421949554,23.38104976141786,13.156100886162235,8.793456032719837,5.657805044308112,60.22727272727273,56.73624288425047,55.059132720105126,57.904411764705884,57.84313725490196
E1,1491,1.054914719511002,-1.0942290049005265,-2.0331104289125213,46.41180415828303,24.681421864520456,14.017437961099933,8.718980549966465,5.767940979208585,61.96524064171123,59.58254269449716,59.65834428383705,62.86764705882353,64.46078431372548
E2,1502,1.0423749873696986,-1.160530845688268,-2.020202020202022,46.60452729693742,25.166444740346204,14.78029294274301,8.388814913448735,5.9254327563249,62.63368983957219,61.48007590132827,61.76084099868594,64.5220588235294,63.72549019607843
E3,1555,1.098875849431602,-1.1857707509881354,-2.127659574468088,48.61736334405145,26.559485530546624,14.59807073954984,8.745980707395498,5.337620578778135,68.51604278074866,69.16508538899431,67.67411300919842,71.50735294117646,68.38235294117646
E4,1422,0.969489939891266,-1.0775501158442335,-1.9597736001617183,43.10829817158931,22.433192686357245,13.431786216596343,8.016877637130802,5.485232067510548,56.350267379679146,53.036053130929794,51.9053876478318,53.49264705882353,54.166666666666664
E5,1645,1.092310987363465,-1.160530845688268,-2.1152191935221443,48.26747720364742,25.775075987841944,14.224924012158056,8.389057750759878,5.045592705167174,72.66042780748663,73.14990512333966,71.74770039421813,76.1029411764706,74.50980392156863
E6,1643,1.0724859996050995,-1.1816935355166203,-2.0887179046498447,48.08277541083384,25.562994522215458,14.30310407790627,8.460133901399878,5.234327449786975,72.05882352941177,72.01138519924099,70.17082785808147,75.0,73.2843137254902
E7,1630,1.0717322968757825,-1.1997698767707177,-2.1367521367521403,47.30061349693251,25.460122699386503,14.417177914110429,8.343558282208589,5.337423312883436,70.38770053475936,71.44212523719165,70.17082785808147,74.81617647058823,73.03921568627452
