observedAt,row,date,time,open,high,low,close,volume
2026-09-15 11:09:03.432,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:09:03.477,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:09:03.509,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:09:03.840,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:09:03.901,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:09:03.949,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:09:03.987,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:09:04.028,122,2026/09/15,11:05,3020,3022,3019,3020,189700
2026-09-15 11:09:04.491,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:09:04.532,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:09:04.571,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:09:04.609,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:09:04.649,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:09:04.690,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:09:04.730,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:09:04.768,122,2026/09/15,11:05,3020,3022,3019,3020,190100
2026-09-15 11:09:05.210,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:09:05.243,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:09:05.277,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:09:05.309,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:09:05.342,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:09:05.379,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:09:05.423,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:09:05.464,122,2026/09/15,11:05,3020,3022,3019,3020,190100
2026-09-15 11:09:05.987,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:09:06.089,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:09:06.188,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:09:06.269,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:09:06.332,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:09:06.578,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:09:06.624,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:09:06.670,122,2026/09/15,11:05,3020,3022,3019,3020,190200
2026-09-15 11:09:07.129,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:09:07.166,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:09:07.206,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:09:07.253,118,2026/09/15,10:45,3029,3030,3026,3029,126100
